ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg
SS.SHF,20230307,16330.0,16340.0,16330.0,16340.0,16155.0,16190.0,16250.0,-150.0,-90.0,60178.0,488967.8,70305.0,
SS.SHF,20230306,16370.0,16245.0,16345.0,16445.0,16240.0,16330.0,16340.0,85.0,95.0,66216.0,541120.34,66819.0,
SS.SHF,20230303,16180.0,16240.0,16160.0,16395.0,16110.0,16370.0,16245.0,130.0,5.0,82988.0,674205.82,71055.0,
SS.SHF,20230302,16290.0,16295.0,16350.0,16350.0,16155.0,16180.0,16240.0,-115.0,-55.0,69142.0,561465.34,77808.0,
SS.SHF,20230301,16480.0,16515.0,16480.0,16510.0,16130.0,16290.0,16295.0,-225.0,-220.0,131051.0,1067814.74,76105.0,
SS.SHF,20230228,16505.0,16590.0,16550.0,16580.0,16460.0,16480.0,16515.0,-110.0,-75.0,57318.0,473438.54,67690.0,
SS.SHF,20230227,16730.0,16735.0,16730.0,16750.0,16450.0,16505.0,16590.0,-230.0,-145.0,84472.0,700727.75,65944.0,
SS.SHF,20230224,16770.0,16800.0,16780.0,16830.0,16635.0,16730.0,16735.0,-70.0,-65.0,97890.0,819163.29,60709.0,
SS.SHF,20230223,16950.0,16930.0,16895.0,16920.0,16730.0,16770.0,16825.0,-160.0,-105.0,50625.0,425962.26,17939.0,
SS.SHF,20230222,16785.0,16740.0,16745.0,17045.0,16745.0,16950.0,16930.0,210.0,190.0,79631.0,674181.66,27285.0,
SS.SHF,20230221,16605.0,16525.0,16660.0,16835.0,16620.0,16785.0,16740.0,260.0,215.0,71556.0,599020.69,42734.0,
SS.SHF,20230220,16540.0,16620.0,16550.0,16650.0,16440.0,16605.0,16525.0,-15.0,-95.0,62718.0,518297.81,54506.0,
SS.SHF,20230217,16490.0,16480.0,16530.0,16720.0,16510.0,16540.0,16620.0,60.0,140.0,76151.0,632872.64,56232.0,
SS.SHF,20230216,16475.0,16540.0,16520.0,16575.0,16420.0,16490.0,16480.0,-50.0,-60.0,52770.0,434933.98,62796.0,
SS.SHF,20230215,16500.0,16490.0,16545.0,16640.0,16455.0,16475.0,16540.0,-15.0,50.0,72766.0,601857.32,65912.0,
SS.SHF,20230214,16515.0,16545.0,16545.0,16555.0,16435.0,16500.0,16490.0,-45.0,-55.0,52286.0,431148.24,70988.0,
SS.SHF,20230213,16620.0,16590.0,16575.0,16635.0,16490.0,16515.0,16545.0,-75.0,-45.0,66547.0,550655.69,71288.0,
SS.SHF,20230210,16740.0,16765.0,16720.0,16735.0,16305.0,16620.0,16590.0,-145.0,-175.0,109769.0,910587.2,73685.0,
SS.SHF,20230209,16800.0,16800.0,16800.0,16860.0,16705.0,16740.0,16765.0,-60.0,-35.0,70060.0,587408.27,69097.0,
SS.SHF,20230208,16815.0,16870.0,16820.0,16880.0,16740.0,16800.0,16800.0,-70.0,-70.0,73711.0,619234.01,64885.0,
SS.SHF,20230207,16925.0,16875.0,16920.0,16965.0,16800.0,16815.0,16870.0,-60.0,-5.0,62964.0,531191.86,64485.0,
SS.SHF,20230206,16910.0,16780.0,16880.0,16985.0,16765.0,16925.0,16875.0,145.0,95.0,81690.0,689313.77,64226.0,
SS.SHF,20230203,16750.0,17030.0,16800.0,16960.0,16665.0,16910.0,16780.0,-120.0,-250.0,100081.0,839748.65,67811.0,
SS.SHF,20230202,17370.0,17330.0,17390.0,17425.0,16700.0,16750.0,17030.0,-580.0,-300.0,144703.0,1232267.11,70317.0,
SS.SHF,20230201,17355.0,17360.0,17320.0,17395.0,17220.0,17370.0,17330.0,10.0,-30.0,67019.0,580813.53,70308.0,
SS.SHF,20230131,17210.0,17250.0,17250.0,17455.0,17235.0,17355.0,17360.0,105.0,110.0,83169.0,722044.2825,71426.0,
SS.SHF,20230130,17220.0,17220.0,17255.0,17470.0,17085.0,17210.0,17250.0,-10.0,30.0,82790.0,714203.4925,68372.0,
SS.SHF,20230120,17200.0,17215.0,17200.0,17345.0,17140.0,17220.0,17220.0,5.0,5.0,77666.0,668766.18,67687.0,
SS.SHF,20230119,17170.0,17160.0,17260.0,17310.0,17125.0,17200.0,17215.0,40.0,55.0,74062.0,637588.78,66041.0,
SS.SHF,20230118,17135.0,17105.0,16965.0,17220.0,16965.0,17170.0,17115.0,65.0,10.0,59564.0,509723.61,26016.0,
SS.SHF,20230117,17040.0,16965.0,16965.0,17230.0,16965.0,17135.0,17105.0,170.0,140.0,70186.0,600299.77,32493.0,
SS.SHF,20230116,16895.0,16945.0,16925.0,17110.0,16770.0,17040.0,16965.0,95.0,20.0,90898.0,771172.7,39864.0,
SS.SHF,20230113,16865.0,16780.0,16810.0,17090.0,16760.0,16895.0,16945.0,115.0,165.0,91921.0,778954.47,43546.0,
SS.SHF,20230112,16770.0,16770.0,16800.0,16930.0,16600.0,16865.0,16780.0,95.0,10.0,85322.0,716047.9,47186.0,
SS.SHF,20230111,16995.0,16985.0,17095.0,17110.0,16625.0,16770.0,16770.0,-215.0,-215.0,107173.0,898852.92,52022.0,
SS.SHF,20230110,17030.0,16855.0,17000.0,17080.0,16875.0,16995.0,16985.0,140.0,130.0,84510.0,717838.99,53887.0,
SS.SHF,20230109,16705.0,16620.0,16685.0,17085.0,16655.0,17030.0,16855.0,410.0,235.0,103145.0,869295.24,57067.0,
SS.SHF,20230106,16600.0,16680.0,16670.0,16750.0,16495.0,16705.0,16620.0,25.0,-60.0,89456.0,743501.59,59936.0,
SS.SHF,20230105,16940.0,17020.0,16840.0,16860.0,16545.0,16600.0,16680.0,-420.0,-340.0,98914.0,825112.21,61365.0,
SS.SHF,20230104,16860.0,16660.0,16950.0,17150.0,16880.0,16940.0,17020.0,280.0,360.0,93915.0,799384.1,60433.0,
SS.SHF,20230103,16820.0,16760.0,16850.0,16970.0,16420.0,16860.0,16660.0,100.0,-100.0,97202.0,809881.18,65947.0,
SS.SHF,20221230,16800.0,16805.0,16760.0,16835.0,16665.0,16820.0,16760.0,15.0,-45.0,86209.0,722618.45,65660.0,
SS.SHF,20221229,16715.0,16705.0,16750.0,16895.0,16720.0,16800.0,16805.0,95.0,100.0,87423.0,734606.8,68301.0,
SS.SHF,20221228,16735.0,16645.0,16700.0,16775.0,16615.0,16715.0,16705.0,70.0,60.0,85050.0,710505.65,70652.0,
SS.SHF,20221227,16540.0,16420.0,16450.0,16825.0,16445.0,16735.0,16645.0,315.0,225.0,89209.0,742521.99,69620.0,
SS.SHF,20221226,16310.0,16305.0,16400.0,16580.0,16305.0,16540.0,16420.0,235.0,115.0,92431.0,758939.52,73408.0,
SS.SHF,20221223,16275.0,16415.0,16400.0,16445.0,16210.0,16310.0,16305.0,-105.0,-110.0,118245.0,964094.23,73509.0,
SS.SHF,20221222,16390.0,16390.0,16430.0,16475.0,16235.0,16275.0,16350.0,-115.0,-40.0,59748.0,488490.4,33491.0,
SS.SHF,20221221,16375.0,16500.0,16480.0,16515.0,16210.0,16390.0,16390.0,-110.0,-110.0,90650.0,743036.96,37979.0,
SS.SHF,20221220,16640.0,16900.0,16745.0,16745.0,16325.0,16375.0,16500.0,-525.0,-400.0,119786.0,988371.63,40458.0,
SS.SHF,20221219,17225.0,17475.0,17250.0,17250.0,16620.0,16640.0,16900.0,-835.0,-575.0,154214.0,1303218.65,46538.0,
SS.SHF,20221216,17585.0,17595.0,17600.0,17835.0,17105.0,17225.0,17475.0,-370.0,-120.0,177061.0,1547117.68,56896.0,
SS.SHF,20221215,17615.0,17555.0,17550.0,17760.0,17465.0,17585.0,17595.0,30.0,40.0,96734.0,851114.68,72533.0,
SS.SHF,20221214,17495.0,17515.0,17505.0,17690.0,17430.0,17615.0,17555.0,100.0,40.0,100695.0,883990.05,77271.0,
SS.SHF,20221213,17550.0,17580.0,17575.0,17645.0,17400.0,17495.0,17515.0,-85.0,-65.0,94883.0,830982.91,79372.0,
SS.SHF,20221212,17465.0,17425.0,17385.0,17765.0,17350.0,17550.0,17580.0,125.0,155.0,124329.0,1092947.95,81168.0,
SS.SHF,20221209,17265.0,17225.0,17300.0,17550.0,17200.0,17465.0,17425.0,240.0,200.0,122325.0,1065903.49,84193.0,
SS.SHF,20221208,17220.0,17280.0,17220.0,17335.0,17145.0,17265.0,17225.0,-15.0,-55.0,79399.0,683899.74,81196.0,
SS.SHF,20221207,17230.0,17205.0,17255.0,17420.0,17110.0,17220.0,17280.0,15.0,75.0,106638.0,921462.04,78607.0,
SS.SHF,20221206,17215.0,17015.0,17115.0,17305.0,17060.0,17230.0,17205.0,215.0,190.0,85939.0,739394.44,80875.0,
SS.SHF,20221205,16895.0,16845.0,16920.0,17330.0,16660.0,17215.0,17015.0,370.0,170.0,160236.0,1363228.97,80695.0,
SS.SHF,20221202,16855.0,16825.0,16900.0,16925.0,16770.0,16895.0,16845.0,70.0,20.0,87799.0,739660.23,75610.0,
SS.SHF,20221201,16765.0,16790.0,16800.0,16935.0,16735.0,16855.0,16825.0,65.0,35.0,92811.0,780907.21,71205.0,
SS.SHF,20221130,16840.0,16710.0,16800.0,16905.0,16685.0,16765.0,16790.0,55.0,80.0,84894.0,712818.89,70742.0,
SS.SHF,20221129,16655.0,16590.0,16760.0,16900.0,16515.0,16840.0,16710.0,250.0,120.0,131746.0,1100869.22,71446.0,
SS.SHF,20221128,16760.0,16670.0,16730.0,16815.0,16400.0,16655.0,16590.0,-15.0,-80.0,139552.0,1157694.81,62987.0,
SS.SHF,20221125,16790.0,16675.0,16695.0,16785.0,16550.0,16760.0,16670.0,85.0,-5.0,99192.0,826929.53,67100.0,
SS.SHF,20221124,16765.0,16785.0,16840.0,16990.0,16710.0,16790.0,16850.0,5.0,65.0,70385.0,593014.17,21221.0,
SS.SHF,20221123,16840.0,16805.0,16800.0,16925.0,16645.0,16765.0,16785.0,-40.0,-20.0,82966.0,696335.79,29204.0,
